	logFC	AveExpr	t	P.Value	adj.P.Val	B
206210_s_at	0.0400800000000014	4.8295075	0.25195089538621	0.806592392840445	0.999986929681082	-4.81805625548747
210937_s_at	-0.0324324999999988	5.63505625	-0.251937448804851	0.806602476184246	0.999986929681082	-4.81805765289403
209001_s_at	0.0354499999999973	12.30735	0.251903322991598	0.806628066672112	0.999986929681082	-4.81806119901714
1561401_at	0.0317950000000007	5.41127	0.25189689107506	0.80663288990684	0.999986929681082	-4.81806186732569
215176_x_at	-0.0397575000000003	4.95461375	-0.2518750340192	0.806649280375161	0.999986929681082	-4.81806413825925
220390_at	0.0331875000000004	3.90607125	0.251791056828725	0.806712255264353	0.999986929681082	-4.81807286164106
222928_s_at	0.0387000000000004	6.304115	0.25177428666369	0.806724831465385	0.999986929681082	-4.81807460335137
231473_at	-0.0229775000000005	3.20806875	-0.251715819092617	0.806768677640488	0.999986929681082	-4.81808067477003
225838_at	-0.0534600000000012	7.4305175	-0.25168345920373	0.80679294537012	0.999986929681082	-4.81808403450897
238438_at	-0.0265975000000012	5.23688375	-0.251664158171158	0.806807419943669	0.999986929681082	-4.81808603822176
231358_at	-0.0278200000000011	5.397935	-0.251646903501872	0.806820359937589	0.999986929681082	-4.81808782936666
217378_x_at	-0.0351599999999994	6.0426975	-0.251612459718414	0.806846190947858	0.999986929681082	-4.81809140449229
235595_at	0.0412900000000009	7.917405	0.251595302462115	0.806859058071788	0.999986929681082	-4.81809318516765
233904_at	0.0251750000000008	2.9634175	0.251590645746162	0.806862550397204	0.999986929681082	-4.81809366844701
205478_at	-0.0363325000000021	4.88261125	-0.251588633951355	0.80686405915331	0.999986929681082	-4.81809387723069
207377_at	0.0379499999999986	5.6431425	0.251586201971407	0.806865883030595	0.999986929681082	-4.81809412961893
243548_x_at	-0.0407025000000001	2.82923625	-0.251584166925373	0.806867409225964	0.999986929681082	-4.81809434081196
1558720_at	-0.0351399999999993	5.776515	-0.251581627535588	0.806869313658256	0.999986929681082	-4.81809460434244
207885_at	0.0387000000000004	4.70845	0.251569294230523	0.806878563121626	0.999986929681082	-4.81809588421996
203344_s_at	0.0595200000000027	9.3916475	0.251529335341997	0.806908530835021	0.999986929681082	-4.81810003049583
236367_at	0.0202750000000007	5.48088	0.251520123881631	0.806915439142367	0.999986929681082	-4.81810098621825
237645_at	-0.0259125000000004	5.20047375	-0.2514483303983	0.806969282614449	0.999986929681082	-4.81810843387953
242088_at	-0.0616775000000001	3.25629625	-0.251447546018374	0.80696987088738	0.999986929681082	-4.81810851523749
1559629_at	-0.0303100000000001	6.5189825	-0.251416757377569	0.806992961997304	0.999986929681082	-4.81811170852083
223128_at	-0.0549099999999987	7.69415	-0.251396774692091	0.807007948876115	0.999986929681082	-4.81811378084603
230492_s_at	0.0709949999999999	7.6083825	0.251395518197881	0.807008891241034	0.999986929681082	-4.81811391114669
1554220_a_at	-0.0222625000000001	3.55451875	-0.251373738046514	0.807025226307152	0.999986929681082	-4.81811616968546
217961_at	0.0333749999999995	9.4663275	0.251363092951242	0.80703321014125	0.999986929681082	-4.81811727348146
230666_at	-0.0391450000000013	5.83125	-0.251346888725343	0.80704536337506	0.999986929681082	-4.81811895361914
222898_s_at	0.0315649999999987	6.5238775	0.251343318439143	0.80704804111122	0.999986929681082	-4.81811932379058
209381_x_at	-0.049172500000001	7.90739375	-0.251310035280099	0.807073003808277	0.999986929681082	-4.81812277437993
1558166_at	0.05124	5.3685775	0.251307858049245	0.807074636760868	0.999986929681082	-4.818123000086
211932_at	0.0507449999999992	9.2074575	0.251297930471224	0.807082082591134	0.999986929681082	-4.81812402921983
1555472_at	-0.0273950000000007	3.9402925	-0.251279332408238	0.807096031468322	0.999986929681082	-4.81812595706501
221945_at	0.0221325000000006	5.73171125	0.251234899332053	0.80712935735422	0.999986929681082	-4.81813056236104
225851_at	-0.0551724999999994	9.31279125	-0.251188649156077	0.807164046544017	0.999986929681082	-4.81813535514561
217109_at	0.0336275000000006	3.88636125	0.251174300325276	0.807174808740581	0.999986929681082	-4.81813684190196
213696_s_at	-0.0432124999999974	9.65476875	-0.251173359741229	0.807175514217698	0.999986929681082	-4.81813693935782
219376_at	0.0765824999999998	7.05804625	0.251164321080084	0.807182293598474	0.999986929681082	-4.81813787585404
226572_at	0.0256175000000027	8.35143625	0.25116382891615	0.80718266274287	0.999986929681082	-4.81813792684623
213385_at	-0.175729999999999	7.3047075	-0.251156625092851	0.80718806592999	0.999986929681082	-4.81813867320976
233874_at	0.0583850000000012	5.0162475	0.251146993180871	0.80719529030817	0.999986929681082	-4.81813967110656
236183_at	-0.0403599999999997	5.29555	-0.251145567298441	0.807196359787385	0.999986929681082	-4.81813981882935
1563329_s_at	-0.0245099999999998	2.44374	-0.251121817722735	0.807214173153633	0.999986929681082	-4.81814227918755
209052_s_at	0.0430925000000011	6.11771375	0.251108258713431	0.807224343139282	0.999986929681082	-4.81814368374302
1554757_a_at	0.0358349999999987	4.9693	0.251085265516561	0.80724158935972	0.999986929681082	-4.81814606540092
212237_at	0.0358450000000001	8.1170075	0.25107640119777	0.807248238138042	0.999986929681082	-4.8181469835188
216284_at	-0.0475800000000017	4.8237675	-0.251075239331755	0.807249109609439	0.999986929681082	-4.81814710385621
226743_at	-0.0876224999999984	8.20989125	-0.251055157496543	0.807264172272537	0.999986929681082	-4.81814918369669
236412_at	-0.0316375000000004	4.23472375	-0.251004014889263	0.807302532882302	0.999986929681082	-4.81815447971214
220517_at	0.0329774999999994	3.60519625	0.25100379827297	0.807302695361153	0.999986929681082	-4.81815450214136
234536_at	-0.0378600000000002	6.4987025	-0.250971056121763	0.807327254600154	0.999986929681082	-4.81815789216128
208189_s_at	0.0263199999999992	6.3004975	0.250961929107052	0.807334100632674	0.999986929681082	-4.81815883706675
1561726_s_at	-0.0352275000000013	5.69937375	-0.250915592023104	0.807368857628656	0.999986929681082	-4.81816363375369
227733_at	-0.0307400000000015	4.1075775	-0.250914087329232	0.807369986292351	0.999986929681082	-4.81816378950092
231579_s_at	-0.0363250000000015	13.3660375	-0.250899823657804	0.807380685427541	0.999986929681082	-4.81816526585376
223393_s_at	-0.0419200000000011	8.8124025	-0.250883949430096	0.807392592685496	0.999986929681082	-4.81816690880977
212086_x_at	0.0257999999999967	11.7047	0.250869805646626	0.807403201981228	0.999986929681082	-4.81816837258204
214203_s_at	0.0351975000000007	6.36376375	0.250859790831848	0.807410714149828	0.999986929681082	-4.81816940898916
242681_at	0.027285	4.799415	0.250849004889301	0.807418804768917	0.999986929681082	-4.81817052515303
226439_s_at	0.0624274999999992	6.41443875	0.25084290606109	0.807423379557884	0.999986929681082	-4.81817115625853
1569786_at	0.0286149999999994	3.20349	0.250810772030203	0.807447483726879	0.999986929681082	-4.81817448123363
236523_at	-0.0288300000000006	3.0625775	-0.250794981336175	0.807459328617323	0.999986929681082	-4.81817611497697
232603_at	0.0232624999999995	2.54256625	0.250765432899659	0.807481493582519	0.999986929681082	-4.81817917185932
1554299_at	0.0224625000000005	4.32329875	0.250739995477785	0.807500574925413	0.999986929681082	-4.81818180316159
220061_at	-0.0245724999999997	6.14235125	-0.250721335413821	0.807514572462091	0.999986929681082	-4.81818373323322
210168_at	0.031975000000001	4.87663	0.250719204729013	0.807516170764453	0.999986929681082	-4.818183953608
220001_at	-0.0370575000000004	4.76362375	-0.250698814639879	0.807531466142152	0.999986929681082	-4.81818606244365
240644_at	-0.0364424999999997	7.04636875	-0.250689208760211	0.807538671905932	0.999986929681082	-4.81818705586924
233926_at	-0.0286124999999999	3.04575375	-0.250688530133463	0.807539180972373	0.999986929681082	-4.81818712605038
205602_x_at	0.128667499999999	8.14327625	0.250626824529628	0.807585469337219	0.999986929681082	-4.81819350664625
227426_at	0.0502474999999993	8.76646375	0.250623797356384	0.8075877401869	0.999986929681082	-4.81819381962804
1559520_at	-0.0264724999999992	3.07452625	-0.250587881921662	0.807614682480913	0.999986929681082	-4.81819753267041
231752_at	0.0344275000000014	6.46548125	0.250545955188061	0.807646134543771	0.999986929681082	-4.81820186651998
211852_s_at	0.0713925	7.13073375	0.250486603620798	0.807690658768127	0.999986929681082	-4.81820800031334
227062_at	0.0271850000000011	6.2806075	0.250478227522194	0.807696942389486	0.999986929681082	-4.81820886584171
221240_s_at	-0.0303499999999985	7.236575	-0.250456809680546	0.807713009793461	0.999986929681082	-4.81821107888529
242887_at	0.0400874999999976	6.58898625	0.250456523813121	0.807713224248364	0.999986929681082	-4.81821110842189
224086_at	0.0298749999999997	3.9882375	0.250412569459696	0.807746198568742	0.999986929681082	-4.81821564951321
208429_x_at	-0.0323525	4.94801625	-0.250361290622359	0.807784668182597	0.999986929681082	-4.81822094633957
